"","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges"
"802","Male",1,"Yes","No",9,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",21.25,204.55
"803","Female",0,"Yes","Yes",56,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","No","Credit card (automatic)",81.25,4620.4
"804","Female",0,"No","Yes",19,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Mailed check",48.8,953.65
"805","Male",0,"No","No",4,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","No","Month-to-month","No","Electronic check",90.65,367.95
"806","Female",0,"Yes","Yes",72,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",109.5,7854.9
"807","Male",0,"Yes","Yes",46,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","One year","No","Mailed check",56.9,2560.1
"808","Male",0,"Yes","No",45,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",81.4,3775.85
"809","Female",0,"Yes","Yes",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.55,20.55
"810","Male",0,"No","No",43,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",101.4,4528
"811","Male",0,"Yes","Yes",13,"Yes","No","DSL","No","Yes","Yes","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",61.8,750.1
"812","Female",0,"No","No",58,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","Yes","Electronic check",107.75,6332.75
"813","Female",0,"No","No",2,"Yes","No","Fiber optic","Yes","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",80.45,137.1
"814","Female",0,"No","No",7,"Yes","Yes","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",53.65,404.35
"815","Female",0,"Yes","No",61,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",94.35,5703
"816","Female",0,"No","No",8,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Electronic check",49.4,408.25
"817","Male",0,"Yes","Yes",61,"Yes","No","Fiber optic","No","Yes","No","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",98.45,6145.2
"818","Female",0,"Yes","No",70,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",84.8,5917.55
"819","Female",0,"Yes","Yes",66,"Yes","No","DSL","No","No","No","Yes","No","No","One year","Yes","Credit card (automatic)",49.4,3251.85
"820","Female",0,"Yes","No",49,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)",20.45,900.9
"821","Female",0,"Yes","Yes",64,"No","No phone service","DSL","No","Yes","No","Yes","Yes","Yes","Two year","Yes","Electronic check",54.6,3423.5
"822","Female",0,"Yes","Yes",52,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",25.05,1270.25
"823","Male",0,"No","Yes",6,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",20.2,98.35
"824","Male",0,"Yes","Yes",40,"Yes","No","Fiber optic","No","No","Yes","No","Yes","No","One year","Yes","Electronic check",85.05,3355.65
"825","Female",0,"Yes","Yes",45,"Yes","No","DSL","No","Yes","No","Yes","No","No","One year","Yes","Credit card (automatic)",54.15,2319.8
"826","Male",1,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",45.1,45.1
"827","Female",0,"Yes","No",62,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Mailed check",81,4985.9
"828","Male",0,"No","No",3,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Mailed check",50.5,147.75
"829","Male",1,"Yes","No",55,"Yes","Yes","DSL","Yes","Yes","No","No","No","No","One year","No","Credit card (automatic)",60,3316.1
"830","Female",0,"No","No",30,"Yes","Yes","DSL","No","Yes","Yes","No","Yes","No","One year","Yes","Credit card (automatic)",68.95,2038.7
"831","Female",0,"No","Yes",4,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Bank transfer (automatic)",20.05,85.5
"832","Female",0,"Yes","No",45,"Yes","No","DSL","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",50.25,2221.55
"833","Female",0,"No","No",6,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",93.55,536.4
"834","Female",1,"Yes","No",58,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",105.5,6205.5
"835","Female",0,"Yes","No",19,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",86.85,1564.4
"836","Female",0,"No","No",26,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",80.7,2193
"837","Male",0,"Yes","Yes",69,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",86.9,6194.1
"838","Male",0,"No","No",19,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",45,865.85
"839","Male",0,"No","Yes",17,"Yes","No","DSL","No","No","No","No","No","No","One year","No","Mailed check",44.6,681.4
"840","Female",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",70.7,70.7
"841","Female",0,"No","No",58,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",24.35,1423.85
"842","Female",0,"No","No",23,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",90.05,2169.8
"843","Female",0,"No","No",6,"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Mailed check",99.95,547.65
"844","Male",0,"Yes","Yes",8,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",44.65,369.15
"845","Female",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.9,20.9
"846","Female",0,"No","No",2,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",74.9,147.15
"847","Male",0,"No","Yes",1,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.35,74.35
"848","Male",1,"Yes","No",12,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",80.45,950.2
"849","Male",1,"Yes","No",69,"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",84.9,5785.65
"850","Female",0,"Yes","No",64,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Mailed check",81.3,5129.3
"851","Female",0,"Yes","Yes",70,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",89,6293.2
"852","Male",0,"Yes","Yes",62,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",20.05,1263.9
"853","Male",0,"No","No",22,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",78.85,1600.25
"854","Male",0,"No","No",24,"Yes","Yes","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",55.65,1400.55
"855","Female",1,"Yes","No",55,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","No","Month-to-month","No","Electronic check",90.45,5044.8
"856","Female",0,"Yes","Yes",25,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20.1,486.05
"857","Male",0,"Yes","Yes",6,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.55,122.9
"858","Female",1,"No","No",7,"Yes","No","DSL","No","Yes","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",64.95,493.65
"859","Male",0,"No","Yes",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",70.45,70.45
"860","Female",1,"Yes","No",36,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",91.95,3301.05
"861","Male",0,"Yes","Yes",72,"No","No phone service","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Credit card (automatic)",45.25,3139.8
"862","Male",0,"Yes","Yes",42,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.25,854.9
"863","Female",0,"No","No",15,"Yes","Yes","Fiber optic","Yes","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",84.35,1302.65
"864","Female",1,"Yes","No",67,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",105.6,7112.15
"865","Male",1,"Yes","No",8,"Yes","No","DSL","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Credit card (automatic)",64.4,581.7
"866","Male",0,"No","No",34,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",26.1,980.35
"867","Male",0,"Yes","Yes",64,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",91.8,5960.5
"868","Male",0,"No","No",25,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",74.3,1952.25
"869","Male",0,"No","No",40,"No","No phone service","DSL","Yes","Yes","Yes","No","Yes","Yes","One year","No","Credit card (automatic)",62.05,2511.55
"870","Female",0,"No","No",36,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",85.85,3003.55
"871","Female",1,"No","No",59,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Electronic check",99.5,5890
"872","Female",0,"No","No",8,"Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",65.5,573.15
"873","Female",0,"No","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",44.45,82.7
"874","Male",0,"No","No",22,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",94.65,2104.55
"875","Male",0,"No","No",57,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",20.55,1252.85
"876","Female",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",45.35,45.35
"877","Male",0,"Yes","Yes",19,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.6,414.95
"878","Female",0,"No","No",12,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",89.15,1057.55
"879","Male",0,"No","No",35,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",21.45,705.45
"880","Female",0,"No","No",8,"Yes","No","Fiber optic","Yes","No","No","No","Yes","No","Month-to-month","No","Electronic check",84.95,668.4
"881","Male",1,"Yes","No",61,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","No","One year","Yes","Mailed check",98.3,6066.55
"882","Male",0,"No","No",25,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Bank transfer (automatic)",19.5,516.3
"883","Male",1,"Yes","Yes",72,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",104.1,7447.7
"884","Female",0,"Yes","Yes",39,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",19.85,854.8
"885","Female",0,"Yes","Yes",23,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",23.85,625.65
"886","Male",0,"Yes","No",4,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Mailed check",50.05,179.35
"887","Male",1,"No","No",24,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.1,1712.7
"888","Female",0,"Yes","Yes",35,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Credit card (automatic)",25.4,949.8
"889","Male",0,"No","No",15,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",87.75,1242.2
"890","Female",0,"No","No",15,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",25.05,369.1
"891","Female",0,"No","No",61,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Electronic check",103.95,6423
"892","Female",1,"No","No",16,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",96.15,1529.2
"893","Male",0,"Yes","Yes",12,"Yes","No","DSL","No","No","No","No","No","Yes","One year","No","Credit card (automatic)",53.65,696.35
"894","Male",1,"No","No",32,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",96.15,3019.25
"895","Male",0,"Yes","Yes",31,"Yes","Yes","DSL","No","No","No","No","No","Yes","Month-to-month","No","Bank transfer (automatic)",59.7,1825.5
"896","Female",0,"Yes","No",19,"Yes","No","DSL","No","Yes","No","No","No","Yes","Month-to-month","Yes","Mailed check",59.8,1130.85
"897","Female",0,"Yes","Yes",7,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.85,144.15
"898","Female",0,"Yes","Yes",23,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","One year","Yes","Mailed check",66.25,1533.8
"899","Male",0,"No","No",39,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",73.15,2730.85
"900","Male",0,"Yes","Yes",66,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Credit card (automatic)",25.7,1714.55
"901","Male",0,"Yes","Yes",46,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Mailed check",81,3846.35
"902","Male",0,"Yes","Yes",66,"No","No phone service","DSL","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Credit card (automatic)",56.75,3708.4
"903","Male",0,"Yes","No",31,"Yes","No","DSL","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Credit card (automatic)",66.4,2019.8
"904","Female",0,"No","No",3,"Yes","No","DSL","No","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",75.3,244.1
"905","Male",0,"No","No",66,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",114.3,7383.7
"906","Female",0,"No","No",42,"Yes","No","DSL","Yes","No","Yes","No","No","No","Month-to-month","No","Credit card (automatic)",54.55,2455.05
"907","Female",0,"Yes","No",72,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",86.4,6058.95
"908","Female",0,"No","No",36,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Mailed check",75.55,2680.15
"909","Male",0,"No","No",57,"Yes","No","DSL","Yes","No","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",74.35,4317.35
"910","Female",0,"No","No",4,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",50.55,235.65
"911","Male",0,"No","No",10,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",95.1,865.1
"912","Female",0,"No","No",48,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)",24.35,1133.7
"913","Male",0,"No","No",54,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",108,5760.65
"914","Female",0,"Yes","No",56,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",103.2,5744.35
"915","Male",0,"Yes","No",64,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",102.45,6654.1
"916","Female",0,"No","No",12,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",43.8,540.95
"917","Female",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",20.7,20.7
"918","Male",0,"Yes","Yes",17,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69,1149.65
"919","Female",0,"Yes","No",23,"Yes","No","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Electronic check",54.25,1221.55
"920","Male",0,"Yes","No",45,"Yes","No","DSL","Yes","Yes","Yes","No","Yes","Yes","One year","No","Bank transfer (automatic)",78.8,3597.5
"921","Male",0,"Yes","No",12,"Yes","No","Fiber optic","Yes","No","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",80.85,866.45
"922","Female",0,"Yes","No",63,"Yes","No","Fiber optic","Yes","No","Yes","No","No","No","One year","Yes","Credit card (automatic)",81.15,5224.5
"923","Male",1,"Yes","No",72,"Yes","Yes","DSL","No","No","Yes","No","Yes","Yes","Two year","Yes","Credit card (automatic)",73.45,5329
"924","Male",0,"No","No",1,"No","No phone service","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",29.7,29.7
"925","Male",1,"Yes","Yes",29,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",103.95,2964.8
"926","Female",0,"Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","Two year","Yes","Bank transfer (automatic)",70.45,5165.7
"927","Male",0,"No","No",17,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.45,369.05
"928","Female",0,"No","No",4,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",77.95,305.55
"929","Male",0,"No","No",27,"Yes","Yes","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Electronic check",59.45,1611.65
"930","Female",0,"Yes","No",5,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",68.95,351.5
"931","Male",0,"Yes","Yes",29,"No","No phone service","DSL","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Credit card (automatic)",55.35,1636.95
"932","Female",0,"Yes","No",69,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Credit card (automatic)",24.95,1718.35
"933","Female",1,"No","No",20,"Yes","Yes","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Mailed check",61.6,1174.35
"934","Male",0,"No","No",14,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Credit card (automatic)",24.8,321.7
"935","Female",0,"Yes","Yes",23,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.05,415.1
"936","Female",1,"No","No",4,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",89.2,346.2
"937","Male",0,"No","Yes",19,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",20.85,467.5
"938","Female",0,"Yes","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.35,120.25
"939","Female",1,"Yes","No",18,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",99.75,1836.25
"940","Male",0,"No","No",2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.75,39.3
"941","Male",0,"Yes","No",71,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Electronic check",83.2,6126.1
"942","Male",0,"No","No",40,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",24.6,973.95
"943","Male",0,"No","No",63,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","One year","No","Bank transfer (automatic)",68.8,4111.35
"944","Female",1,"Yes","No",1,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",76.4,76.4
"945","Female",0,"Yes","Yes",36,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",92.9,3379.25
"946","Male",0,"Yes","No",58,"Yes","Yes","DSL","Yes","Yes","Yes","No","Yes","Yes","Two year","Yes","Electronic check",86.1,4890.5
"947","Male",0,"No","No",52,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",85.35,4338.6
"948","Male",0,"No","No",35,"No","No phone service","DSL","No","No","Yes","No","Yes","Yes","Month-to-month","No","Electronic check",49.2,1701.65
"949","Female",0,"Yes","Yes",12,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",25.25,274.7
"950","Male",0,"Yes","Yes",19,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","One year","Yes","Electronic check",100.95,1875.55
"951","Male",0,"Yes","No",56,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","One year","Yes","Electronic check",107.25,6033.3
"952","Female",1,"No","No",37,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",106.75,4056.75
"953","Female",0,"No","No",33,"Yes","Yes","DSL","Yes","No","No","Yes","No","No","One year","No","Electronic check",59.4,1952.8
"954","Male",0,"Yes","No",31,"Yes","Yes","DSL","No","No","Yes","Yes","Yes","Yes","One year","Yes","Mailed check",79.3,2484
"955","Female",0,"No","No",18,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.8,1221.65
"956","Male",0,"No","No",45,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Credit card (automatic)",112.2,5031.85
"957","Male",0,"Yes","Yes",65,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",104.1,6700.05
"958","Male",0,"No","No",17,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Credit card (automatic)",21.1,385.55
"959","Female",0,"Yes","Yes",2,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",73.55,145.4
"960","Male",0,"No","No",10,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",46,492.1
"961","Male",0,"Yes","Yes",48,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",26.3,1245.05
"962","Male",0,"Yes","Yes",33,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.6,690.25
"963","Male",0,"Yes","No",65,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",91.85,5940.85
"964","Female",0,"Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",113.65,8124.2
"965","Female",0,"Yes","Yes",24,"Yes","No","DSL","Yes","No","No","Yes","No","No","Month-to-month","No","Electronic check",55.15,1319.85
"966","Female",0,"No","No",3,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",74.75,238.1
"967","Male",0,"No","No",43,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","One year","Yes","Electronic check",100,4211.55
"968","Female",0,"No","No",15,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)",20.1,302.45
"969","Female",0,"Yes","Yes",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",91.05,6293.75
"970","Female",0,"Yes","Yes",42,"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",100.4,4303.65
"971","Female",1,"No","No",43,"No","No phone service","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",33.45,1500.25
"972","Male",0,"Yes","Yes",61,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",20.55,1305.95
"973","Female",0,"No","No",15,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",48.85,736.8
"974","Female",0,"No","No",9,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.25,186.15
"975","Female",0,"Yes","No",4,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",91.65,365.4
"976","Male",0,"Yes","Yes",2,"Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","Month-to-month","No","Credit card (automatic)",90,190.05
"977","Male",0,"Yes","Yes",15,"Yes","Yes","DSL","No","No","Yes","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)",59.65,867.1
"978","Male",0,"No","No",15,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",93.35,1444.65
"979","Male",0,"No","No",20,"Yes","Yes","DSL","No","Yes","No","Yes","Yes","No","One year","Yes","Electronic check",68.7,1416.2
"980","Female",0,"Yes","No",2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.35,41.85
"981","Male",0,"No","No",2,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",85.65,181.5
"982","Female",0,"No","Yes",12,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",105.3,1275.65
"983","Female",0,"No","No",15,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",48.8,720.1
"984","Female",0,"No","No",2,"No","No phone service","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",45.25,85.5
"985","Female",0,"No","No",2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",19.9,57.4
"986","Male",0,"No","No",7,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Mailed check",95,655.5
